scenario_id,persona_id,weather,disruption,mode,recommender,generation_feasible,total_travel_time_min,interest_precision,interest_recall,interest_group_coverage,outdoor_stop_count,generation_response_ms,stop_count,disruption_effect,post_adapt_feasible,plan_change_ratio,reopt_response_ms,reoptimized
P4-rain-heavy-adaptive,P4,rain,heavy,adaptive,content,true,8.0,1.0000,0.7500,0.7500,1,1620.8,5,heavy_delay_feasible,true,0.0000,17.0,false
P4-rain-heavy-static,P4,rain,heavy,static,content,true,31.0,1.0000,1.0000,1.0000,4,1595.0,7,delayed_infeasible,false,0.0000,,false
P4-rain-blocked-adaptive,P4,rain,blocked,adaptive,content,true,8.0,1.0000,0.7500,0.7500,1,1636.4,5,blocked_reoptimized,true,0.4000,301.0,true
P4-rain-blocked-static,P4,rain,blocked,static,content,true,31.0,1.0000,1.0000,1.0000,4,1626.4,7,blocked_infeasible,false,0.0000,,false
P5-clear-none-adaptive,P5,clear,none,adaptive,content,true,6.0,1.0000,1.0000,1.0000,1,917.4,3,,,,,
P5-clear-none-static,P5,clear,none,static,content,true,6.0,1.0000,1.0000,1.0000,1,923.4,3,,,,,
P5-clear-moderate-adaptive,P5,clear,moderate,adaptive,content,true,6.0,1.0000,1.0000,1.0000,1,928.2,3,no_effect,,,,
P5-clear-moderate-static,P5,clear,moderate,static,content,true,6.0,1.0000,1.0000,1.0000,1,935.4,3,no_effect,,,,
P5-clear-heavy-adaptive,P5,clear,heavy,adaptive,content,true,6.0,1.0000,1.0000,1.0000,1,906.4,3,no_effect,,,,
P5-clear-heavy-static,P5,clear,heavy,static,content,true,6.0,1.0000,1.0000,1.0000,1,930.6,3,no_effect,,,,
P5-clear-blocked-adaptive,P5,clear,blocked,adaptive,content,true,6.0,1.0000,1.0000,1.0000,1,921.4,3,no_effect,,,,
P5-clear-blocked-static,P5,clear,blocked,static,content,true,6.0,1.0000,1.0000,1.0000,1,931.6,3,no_effect,,,,
P5-rain-none-adaptive,P5,rain,none,adaptive,content,true,9.0,1.0000,1.0000,1.0000,0,970.4,2,,,,,
P5-rain-none-static,P5,rain,none,static,content,true,6.0,1.0000,1.0000,1.0000,1,974.2,3,,,,,
P5-rain-moderate-adaptive,P5,rain,moderate,adaptive,content,true,9.0,1.0000,1.0000,1.0000,0,973.4,2,no_effect,,,,
P5-rain-moderate-static,P5,rain,moderate,static,content,true,6.0,1.0000,1.0000,1.0000,1,919.4,3,no_effect,,,,
P5-rain-heavy-adaptive,P5,rain,heavy,adaptive,content,true,9.0,1.0000,1.0000,1.0000,0,927.2,2,no_effect,,,,
P5-rain-heavy-static,P5,rain,heavy,static,content,true,6.0,1.0000,1.0000,1.0000,1,948.8,3,no_effect,,,,
P5-rain-blocked-adaptive,P5,rain,blocked,adaptive,content,true,9.0,1.0000,1.0000,1.0000,0,917.2,2,no_effect,,,,
P5-rain-blocked-static,P5,rain,blocked,static,content,true,6.0,1.0000,1.0000,1.0000,1,966.2,3,no_effect,,,,
P6-clear-none-adaptive,P6,clear,none,adaptive,content,true,18.0,1.0000,1.0000,1.0000,3,1272.8,6,,,,,
P6-clear-none-static,P6,clear,none,static,content,true,18.0,1.0000,1.0000,1.0000,3,1255.2,6,,,,,
P6-clear-moderate-adaptive,P6,clear,moderate,adaptive,content,true,18.0,1.0000,1.0000,1.0000,3,1327.6,6,no_effect,,,,
P6-clear-moderate-static,P6,clear,moderate,static,content,true,18.0,1.0000,1.0000,1.0000,3,1265.2,6,no_effect,,,,
P6-clear-heavy-adaptive,P6,clear,heavy,adaptive,content,true,18.0,1.0000,1.0000,1.0000,3,1284.6,6,no_effect,,,,
P6-clear-heavy-static,P6,clear,heavy,static,content,true,18.0,1.0000,1.0000,1.0000,3,1249.0,6,no_effect,,,,
P6-clear-blocked-adaptive,P6,clear,blocked,adaptive,content,true,18.0,1.0000,1.0000,1.0000,3,1253.8,6,no_effect,,,,
P6-clear-blocked-static,P6,clear,blocked,static,content,true,18.0,1.0000,1.0000,1.0000,3,1259.4,6,no_effect,,,,
P6-rain-none-adaptive,P6,rain,none,adaptive,content,true,50.0,1.0000,1.0000,1.0000,0,1285.2,4,,,,,
P6-rain-none-static,P6,rain,none,static,content,true,18.0,1.0000,1.0000,1.0000,3,1255.0,6,,,,,
P6-rain-moderate-adaptive,P6,rain,moderate,adaptive,content,true,50.0,1.0000,1.0000,1.0000,0,1288.8,4,no_effect,,,,
P6-rain-moderate-static,P6,rain,moderate,static,content,true,18.0,1.0000,1.0000,1.0000,3,1254.6,6,no_effect,,,,
P6-rain-heavy-adaptive,P6,rain,heavy,adaptive,content,true,50.0,1.0000,1.0000,1.0000,0,1258.2,4,no_effect,,,,
P6-rain-heavy-static,P6,rain,heavy,static,content,true,18.0,1.0000,1.0000,1.0000,3,1287.0,6,no_effect,,,,
P6-rain-blocked-adaptive,P6,rain,blocked,adaptive,content,true,50.0,1.0000,1.0000,1.0000,0,1278.4,4,no_effect,,,,
P6-rain-blocked-static,P6,rain,blocked,static,content,true,18.0,1.0000,1.0000,1.0000,3,1247.2,6,no_effect,,,,
